ID;Post Name;Display Name;Type;Tables;Calculated
2.0154;Lender: Loan Product;;;;
;;;;;
2.0156;;;;;
2.0157;;;;;
2.0158;;;;;
2.0159;;;;;
2.0160;;;;;
2.0161;;;;;
2.0162;;;;;
2.0163;Invest Equity into Funds;Location;google;Nation, Region, State, County, Zip, City;
2.0164;Invest Equity into Funds;Type of Fund Sponsor Looking for ;dropdown;Table Q2;
2.0165;Invest Equity into Funds;Fund Size Considered;dropdown;Table QA ;
2.0166;Invest Equity into Funds;Fund Type;dropdown;"Private Equity: Equity Fund
Private Equity: Debt Fund
Hedge Fund
Fund of Funds
";
2.0167;Invest Equity into Funds;Open Ended Funds / Close Ended Funds;checkbox;;
2.0168;Invest Equity into Funds;Investment Term;;;
2.0169;Invest Equity into Funds;Fund Term;dropdown;Table QF;
2.0170;Invest Equity into Funds;Fund Leverage Maximum;dropdown;Table QE;
2.0171;Invest Equity into Funds;Risk Profile;dropdown;Table E;
2.0172;Invest Equity into Funds;Asset Types;dropdown;Table A ;
2.0173;Invest Equity into Funds;;;;
2.0174;Invest Equity into Funds;;;;
2.0175;Invest Equity into Funds;;;;
2.0176;Invest Equity into Funds;Invest into LP Equity;checkbox;;
2.0177;Invest Equity into Funds;LP Equity Maximum Investment Amount;;;
2.0178;Invest Equity into Funds;;;;
2.0179;Invest Equity into Funds;;;;
2.0180;Invest Equity into Funds;Invest into GP Equity;checkbox;;
2.0181;Invest Equity into Funds;;;;
2.0182;Invest Equity into Funds;;;;
2.0183;Invest Equity into Funds;GP Equity Investment Amount;;;
2.0184;Invest Equity into Funds;;;;
2.0185;Invest Equity into Funds;;;;
2.0186;Invest Equity into Funds;Managers Minimum Experience;integer;;
2.0187;Invest Equity into Funds;First Time Funds Considered;checkbox;;
2.0188;Invest Equity into Funds;Only Funds with History Considered;checkbox;;
2.0189;Invest Equity into Funds;Cash On Cash Per Annum %;dropdown;Table QC;
2.0190;Invest Equity into Funds;Minimum IRR%;dropdown;Table QD;
2.0191;Invest Equity into Funds;Exit ROE / Equity Multiplier;dropdown;Table QK;
2.0192;Invest Equity into Funds;Min. Preferred Return;dropdown;Table QH;
2.0193;Invest Equity into Funds;Exit Cap Rate;dropdown;Table FT ;
2.0194;Invest Equity into Funds;;;;
2.0195;Invest Equity into Funds;;;;
2.0196;Invest Equity into Funds;;;;
2.0197;Invest Equity into Funds;;;;
2.0198;Invest Equity into Funds;;;;
2.0199;Invest Equity into Funds;;;;
2.0200;Invest Equity into Funds;Average Decision Time Frame;integer;;
2.0201;Invest Equity into Funds;Number of Previous Funds;text;;
2.0202;Invest Equity into Funds;Total AUM (Assets Under Management);text;;
2.0203;Invest Equity into Funds;Asset Types;dropdown;Table A;
2.0204;Invest Equity into Funds;Risk Profile;dropdown;Table E;
2.0205;Invest Equity into Funds;Average Fund Term;dropdown;Table QF;
2.0206;Invest Equity into Funds;Exit IRR %;dropdown;Table QD;
2.0207;Invest Equity into Funds;Exit ROE / Equity Multiplier;dropdown;Table QK;
2.0208;Invest Equity into Funds;Portfolio;;;
2.0209;Invest Equity into Funds;Single Assets;;;
;;;;;
2.0211;Delaware Statutory Trust;;;;
2.0212;Delaware Statutory Trust;1031 Value to Exchange;checkbox;;
2.0213;Delaware Statutory Trust;Cash Investment;checkbox;;
2.0214;Delaware Statutory Trust;Property Types in DST portfolio;dropdown;Table A;
2.0215;Delaware Statutory Trust;;;;
2.0216;Delaware Statutory Trust;My LTV Requirements (if any);dropdown;Table QE;
2.0217;Delaware Statutory Trust;;;;
2.0218;Delaware Statutory Trust;Min. Target Cash on Cash Return;dropdown;Table QC;
2.0219;Delaware Statutory Trust;Min. Target Yield;;;
2.0220;Delaware Statutory Trust;Min. Tax Equivalent Yield;;;
2.0221;Delaware Statutory Trust;Minimum IRR%;dropdown;Table QD;
2.0222;Delaware Statutory Trust;Properties in DST;;;
2.0223;Delaware Statutory Trust;Maximum Term (Years);dropdown;Table QI;
2.0224;Delaware Statutory Trust;I have earned individual income in excess of $200,000 in each of the last two integer, or joint income with my spouse in excess of $300,000 over the period, and I have a reasonable expectation of reaching the same income level this year. -AND/OR- My individual net worth, or joint net worth is in excess of $1,000,000, excluding the equity in my/our primary residence;checkbox;;
2.0225;;;;;
2.0226;;;;;
2.0227;;;;;
;;;;;
2.0229;;;;;
2.0230;;Location;google;Nation, Region, State, County, Zip, City;
2.0231;Developer / General Partner (GP);Auto Fill Primary Role;;;
2.0232;Developer / General Partner (GP);I am a Developer; ;Table FF;
2.0233;Developer / General Partner (GP);;;;
2.0234;Developer / General Partner (GP);I am a Fund General Partner;checkbox;;
2.0235;Developer / General Partner (GP);Partner With Funds and Investors;checkbox;;
2.0236;Developer / General Partner (GP);Preferred Properties;dropdown;Table A;
2.0237;Developer / General Partner (GP);Class Rating;dropdown;Table K;
2.0238;Developer / General Partner (GP);Risk Profile;dropdown;Table E;
2.0239;Developer / General Partner (GP);;;;
2.0240;Developer / General Partner (GP);Our Strategies;dropdown;Table B;
2.0241;Developer / General Partner (GP);Asset Status We Consider;dropdown;Table JJF;
2.0242;Developer / General Partner (GP);Average Deal Sizes;dropdown;Table FM;
2.0243;Developer / General Partner (GP);Open to Partnerships (JV);checkbox;;
2.0244;Developer / General Partner (GP);Projects Completed;integer;;
2.0245;Developer / General Partner (GP);Average IRR %;integer;;
2.0246;Developer / General Partner (GP);SF Developed/Owned;integer;;
2.0247;Developer / General Partner (GP);"Value of Deals Completed
";integer;;
2.0248;Developer / General Partner (GP);Past Projects;link;;
2.0249;Developer / General Partner (GP);Project Name;text;;
2.0250;Developer / General Partner (GP);Value;integer;;
2.0251;Developer / General Partner (GP);ROE %;integer;;
2.0252;Developer / General Partner (GP);Address;text;;
2.0253;Developer / General Partner (GP);IRR %;integer;;
2.0254;Developer / General Partner (GP);Website;url;;
2.0255;Developer / General Partner (GP);Description;text;;
2.0256;Developer / General Partner (GP);Size/Area;integer;;
2.0257;Developer / General Partner (GP);Measurement;dropdown;;
2.0258;Developer / General Partner (GP);Add Picture;image;;
2.0259;;;;;
2.0260;;;;;
;;;;;
2.0262;;;;;
2.0803;Fund General Partner;Location;google;Nation, Region, State, County, Zip, City;
2.0804;Fund General Partner;Auto Fill Primary Role;;;
2.0807;Fund General Partner;;;;
2.0809;Fund General Partner;Preferred Properties;dropdown;Table A;
2.0810;Fund General Partner;Class Rating;dropdown;Table K;
2.0811;Fund General Partner;Risk Profile;dropdown;Table E;
2.0813;Fund General Partner;Our Strategies;dropdown;Table B;
2.0814;Fund General Partner;Asset Status We Consider;dropdown;Table JJF;
2.0815;Fund General Partner;Average Deal Sizes;dropdown;Table FM;
2.0816;Fund General Partner;Open to Partnerships (JV);checkbox;;
2.0817;Fund General Partner;Projects Completed;integer;;
2.0818;Fund General Partner;Average IRR %;integer;;
2.0819;Fund General Partner;SF Developed/Owned;integer;;
2.0820;Fund General Partner;"Value of Deals Completed
";integer;;
2.0821;;;;;
2.0822;;;;;
2.0808;;;;;
2.0823;;;;;
;;;;;
2.0812;;;;;
2.0825;Owner/Operator;Location;google;Nation, Region, State, County, Zip, City;
2.0826;Owner/Operator;Auto Fill Primary Role;;;
2.0827;Owner/Operator;;;;
2.0828;Owner/Operator;Preferred Properties;dropdown;Table A;
2.0829;Owner/Operator;Class Rating;dropdown;Table K;
2.0830;Owner/Operator;Risk Profile;dropdown;Table E;
2.0831;Owner/Operator;Our Strategies;dropdown;Table B;
2.0832;Owner/Operator;Asset Status We Consider;dropdown;Table JJF;
2.0833;Owner/Operator;Average Deal Sizes;dropdown;Table FM;
2.0834;Owner/Operator;Open to Partnerships (JV);checkbox;;
2.0835;Owner/Operator;Projects Completed;integer;;
2.0806;Owner/Operator;Average IRR %;integer;;
2.0836;Owner/Operator;SF Developed/Owned;integer;;
2.0837;Owner/Operator;"Value of Deals Completed
";integer;;
2.0838;Owner/Operator;;;;
2.0839;;;;;
2.0805;;;;;
2.0840;;;;;
2.0841;;;;;
;;;;;
2.0266;;;;;
2.0267;Crowdfunder;Location;google;Nation, Region, State, County, Zip, City;
2.0268;Crowdfunder;Our Capital Partner(s) Are;dropdown;Table Q;
2.0269;Crowdfunder;Main Profession;dropdown;Table T;
2.0270;Crowdfunder;I am a Crowdfunder;;;
2.0271;Crowdfunder;Open to Partnerships (JV);checkbox;;
2.0272;Crowdfunder;;;;
2.0273;Crowdfunder;;;;
;;;;;
2.0275;;;;;
2.0276;;;;;
2.0277;;;;;
2.0278;;;;;
2.0279;;;;;
2.0280;;;;;
2.0281;;;;;
2.0282;Real Estate Services;Location;google;Nation, Region, State, County, Zip, City;
2.0283;Real Estate Services;General;dropdown;Table J;
2.0287;Real Estate Services;Qualifications;text;;
2.0288;Real Estate Services;Service Focus;dropdown;Table B;
2.0289;Real Estate Services;Asset Focus;dropdown;Table A;
2.0290;Real Estate Services;Risk Experience;dropdown;Table E;
2.0291;Real Estate Services;Class Rating;dropdown;Table K;
2.0292;Real Estate Services;Deal Access;dropdown;Table JJF;
2.0293;Real Estate Services;Open to Partnerships (JV);checkbox;;
2.0294;Real Estate Services;;;;
2.0295;Real Estate Services;;;;
2.0296;Real Estate Services;;;;
2.0297;Real Estate Services;;;;
2.0298;Real Estate Services;;;;
2.0299;Real Estate Services;;;;
;;;;;
2.0301;Facilities & Property Management ;;;;
2.0704;Facilities & Property Management ;;;;
2.0701;Facilities & Property Management ;Location;google;Nation, Region, State, County, Zip, City;
2.0702;Facilities & Property Management ;Property Management ;dropdown;Table J1;
2.0703;Facilities & Property Management ;Facilities Management ;dropdown;Table J2;
2.0705;Facilities & Property Management ;Qualifications;text;;
2.0706;Facilities & Property Management ;Service Focus;dropdown;Table B;
2.0707;Facilities & Property Management ;Asset Focus;dropdown;Table A;
2.0708;Facilities & Property Management ;Risk Experience;dropdown;Table E;
2.0709;Facilities & Property Management ;Class Rating;dropdown;Table K;
2.0710;Facilities & Property Management ;Deal Access;dropdown;Table JJF;
2.0711;Facilities & Property Management ;Open to Partnerships (JV);checkbox;;
2.0712;Facilities & Property Management ;;;;
2.0713;Facilities & Property Management ;;;;
;;;;;
2.0307;Capital Markets Broker / Placement Agents;Location;google;Nation, Region, State, County, Zip, City;
2.0308;Capital Markets Broker / Placement Agents;Capital Markets Broker;dropdown;Table G1;
2.0309;Capital Markets Broker / Placement Agents;;;;
2.0310;Capital Markets Broker / Placement Agents;Qualifications;;;
2.0311;Capital Markets Broker / Placement Agents;Service Focus;dropdown;Table B;
2.0312;Capital Markets Broker / Placement Agents;Asset Focus;dropdown;Table A;
2.0313;Capital Markets Broker / Placement Agents;Risk Experience;dropdown;Table E;
2.0314;Capital Markets Broker / Placement Agents;Class Rating;dropdown;Table K;
2.0315;Capital Markets Broker / Placement Agents;Deal Access;dropdown;Table JJ;
2.0316;Capital Markets Broker / Placement Agents;Open to Partnerships (JV);checkbox;;
2.0317;Capital Markets Broker / Placement Agents;;;;
2.0318;Capital Markets Broker / Placement Agents;;;;
;;;;;
2.0320;;;;;
2.0321;;;;;
2.0322;;;;;
2.0323;;;;;
2.0324;;;;;
2.0325;;;;;
2.0326;Commercial Broker/Agent;Location;google;Nation, Region, State, County, Zip, City;
2.0327;Commercial Broker/Agent;Focus;dropdown;Table G3;
2.0328;Commercial Broker/Agent;Languages;dropdown;Table Z;
2.0329;Commercial Broker/Agent;Broker License;dropdown;All States;
2.0330;Commercial Broker/Agent;License Number;text;;
2.0331;Commercial Broker/Agent;Designations ;dropdown;Table FY;
2.0332;Commercial Broker/Agent;Qualifications;;;
2.0333;Commercial Broker/Agent;Asset Focus;dropdown;Table A;
2.0334;Commercial Broker/Agent;Risk Experience;dropdown;Table E;
2.0335;Commercial Broker/Agent;Class Rating;dropdown;Table K;
2.0336;Commercial Broker/Agent;Deal Access;dropdown;Table JJF;
2.0337;Commercial Broker/Agent;Lease Types;dropdown;Table H;
2.0338;Commercial Broker/Agent;Ideal Transaction Size;dropdown;Table FM ;
2.0339;Commercial Broker/Agent;Transactions Completed;dropdown;Table FN;
2.0340;Commercial Broker/Agent;Service Focus;dropdown;Table B;
2.0341;Commercial Broker/Agent;Approx. Value of Transactions;dropdown;Table FN;
2.0342;Commercial Broker/Agent;Open to Partnerships (JV);checkbox;;
2.0343;Commercial Broker/Agent;I wish to participate in the Business Referral program;checkbox;;
2.0344;Commercial Broker/Agent;Referral Split;dropdown;Table FP;
2.0345;Commercial Broker/Agent;Broker to Broker Communication;dropdown;Table FAC;
2.0346;Commercial Broker/Agent;Will only accept Referrals from;dropdown;Table FAD;
2.0347;Commercial Broker/Agent;Brokers Relationship to client;;;
2.0348;Commercial Broker/Agent;Type of referrals I'm Interested in;;;
2.0349;Commercial Broker/Agent;Asset Focus;;;
2.0350;Commercial Broker/Agent;Ideal Transaction Size;;;
2.0351;Commercial Broker/Agent;Growing My Business;;;
2.0352;;;;;
2.0353;;;;;
2.0354;;;;;
;;;;;
2.0356;;;;;
2.0357;;;;;
2.0358;;;;;
2.0359;;;;;
2.0360;;;;;
2.0361;Residential Broker/Agent;Location;google;Nation, Region, State, County, Zip, City;
2.0362;Residential Broker/Agent;;;Table G4;
2.0363;Residential Broker/Agent;Residential Property Specializations;dropdown;Table A1;
2.0364;Residential Broker/Agent;Dwelling Type;dropdown;Table A;
2.0365;Residential Broker/Agent;Ideal Transaction Size;dropdown;Table FM ;
2.0366;Residential Broker/Agent;Languages;dropdown;Table Z;
2.0367;Residential Broker/Agent;Qualifications;;;
2.0368;Residential Broker/Agent;Designations ;dropdown;Table FY;
2.0369;Residential Broker/Agent;Open to Partnerships (JV);checkbox;;
2.0370;Residential Broker/Agent;I wish to participate in the Business Referral program;checkbox;;
2.0371;Residential Broker/Agent;Referral Split;dropdown;Table FP;
2.0372;Residential Broker/Agent;Broker to Broker Communication;dropdown;Table FAC;
2.0373;Residential Broker/Agent;Will only accept Referrals from;dropdown;Table FAD;
2.0374;;;;;
2.0375;;;;;
2.0376;;;;;
2.0377;Residential Broker/Agent;;;;
;;;;;
2.0379;;;;;
2.0380;;;;;
2.0381;;;;;
2.0382;;;;;
2.0383;;;;;
2.0384;;;;;
2.0385;Mortgage Broker;Location;google;Nation, Region, State, County, Zip, City;
2.0386;Mortgage Broker;Asset Focus;dropdown;Table A;
2.0387;Mortgage Broker;Transaction Range;dropdown;Table QL;
2.0388;Mortgage Broker;Risk Experience;dropdown;Table E;
2.0389;Mortgage Broker;Asset Status;dropdown;Table JJF;
2.0390;Mortgage Broker;Designations ;dropdown;Table FY;
2.0391;Mortgage Broker;Languages;dropdown;Table Z;
2.0392;Mortgage Broker;Qualifications;;;
2.0393;Mortgage Broker;Open to Partnerships (JV);checkbox;;
2.0394;Mortgage Broker;;;;
2.0395;Mortgage Broker;;;;
2.0396;;;;;
;;;;;
2.0398;;;;;
2.0399;;;;;
2.0400;;;;;
2.0401;;;;;
2.0402;;;;;
2.0403;;;;;
2.0404;Architect or Designer;Location;google;Nation, Region, State, County, Zip, City;
2.0405;Architect or Designer;Role;dropdown;Table V1;
2.0406;Architect or Designer;Core Skills (Engagement Stage);dropdown;Table EE;
2.0407;Architect or Designer;Preferred Engagement Stage;dropdown;Table F;
2.0408;Architect or Designer;Asset Specialization;dropdown;Table A;
2.0409;Architect or Designer;Ideal Transaction Size;range;;
2.0410;Architect or Designer;Transaction Completed;range;;
2.0411;Architect or Designer;Average Project Size (SF);range;;
2.0412;Architect or Designer;Approx. Value of Transactions ;range;;
2.0413;Architect or Designer;Average Project Value ($) ;range;;
2.0414;Architect or Designer;;;;
2.0415;Mortgage Broker;Open to Partnerships (JV);checkbox;;
2.0416;Architect or Designer;;;;
;;;;;
2.0418;;;;;
2.0419;;;;;
2.0420;;;;;
2.0421;;;;;
2.0422;;;;;
2.0423;Engineer;Location;google;Nation, Region, State, County, Zip, City;
2.0424;Engineer;Role;dropdown;Table V2;
2.0425;Engineer;Core Skills (Engagement Stage);dropdown;Table EE;
2.0426;Engineer;Preferred Engagement Stage;dropdown;Table F;
2.0427;Engineer;Asset Specialization;dropdown;Table A;
2.0428;Engineer;Ideal Transaction Size;range;;
2.0429;Engineer;Transaction Completed;range;;
2.0430;Engineer;Average Project Size (SF);range;;
2.0431;Engineer;Approx. Value of Transactions ;range;;
2.0432;Engineer;Average Project Value ($) ;range;;
2.0433;Engineer;;;;
2.0434;Mortgage Broker;Open to Partnerships (JV);checkbox;;
2.0435;Engineer;;;;
2.0436;;;;;
;;;;;
2.0438;;;;;
2.0439;;;;;
2.0440;;;;;
2.0441;;;;;
2.0442;;;;;
2.0443;Builder or Contractor;Location;google;Nation, Region, State, County, Zip, City;
2.0444;Builder or Contractor;Role;dropdown;Table V3;
2.0445;Builder or Contractor;Core Skills (Engagement Stage);dropdown;Table EE;
2.0446;Builder or Contractor;Preferred Engagement Stage;dropdown;Table F;
2.0447;Builder or Contractor;Asset Specialization;dropdown;Table A;
2.0448;Builder or Contractor;Ideal Transaction Size;range;;
2.0449;Builder or Contractor;Transaction Completed;range;;
2.0450;Builder or Contractor;Average Project Size (SF);range;;
2.0451;Builder or Contractor;Approx. Value of Transactions ;range;;
2.0452;Builder or Contractor;Average Project Value ($) ;range;;
2.0453;Builder or Contractor;;;;
2.0454;Builder or Contractor;Open to Partnerships (JV);checkbox;;
2.0455;Builder or Contractor;;;;
2.0456;;;;;
;;;;;
2.0458;;;;;
2.0459;;;;;
2.0460;;;;;
2.0461;;;;;
2.0462;;;;;
2.0463;Legal Services;Location;google;Nation, Region, State, County, Zip, City;
2.0464;Legal Services;Role;dropdown;Table W2;
2.0465;Legal Services;Asset Experience;dropdown;Table A;
2.0466;Legal Services;;;;
2.0467;Legal Services;Qualifications;text;;
2.0468;Legal Services;Service Focus;dropdown;Table B;
2.0469;Legal Services;Preferred Engagement Stage;dropdown;Table JJF;
2.0470;Legal Services;Ideal Transaction Size;range;;
2.0471;Legal Services;Transactions Completed Last Year;range;;
2.0472;Legal Services;Open to Partnerships (JV);checkbox;;
2.0473;Legal Services;;;;
2.0474;Legal Services;;;;
2.0475;;;;;
;;;;;
2.0477;;;;;
2.0478;;;;;
2.0479;;;;;
2.0480;;;;;
2.0481;;;;;
2.0482;Accountant;;;;
2.0483;Accountant;Location;google;Nation, Region, State, County, Zip, City;
2.0484;Accountant;Role;dropdown;Table W1;
2.0485;Accountant;Asset Experience;dropdown;Table A;
2.0486;Accountant;;;;
2.0487;Accountant;Qualifications;text;;
2.0488;Accountant;Service Focus;dropdown;Table B;
2.0489;Accountant;Preferred Engagement Stage;dropdown;Table JJF;
2.0490;Accountant;Ideal Transaction Size;range;;
2.0491;Accountant;Transactions Completed Last Year;range;;
2.0492;Accountant;Open to Partnerships (JV);checkbox;;
2.0493;Accountant;;;;
2.0494;;;;;
;;;;;
2.0496;;;;;
2.0499;;;;;
2.0500;;;;;
2.0501;Registered Investment Advisor (RIA);;;;
2.0502;Registered Investment Advisor (RIA);Location;google;Nation, Region, State, County, Zip, City;
2.0503;Registered Investment Advisor (RIA);Asset Experience;dropdown;Table A;
2.0510;Registered Investment Advisor (RIA);Open to Partnerships (JV);checkbox;;
2.0511;Registered Investment Advisor (RIA);;;;
2.0512;;;;;
;;;;;
2.0514;;;;;
2.0515;;;;;
2.0516;;;;;
2.0523;;;;;
2.0517;;;;;
2.0518;;;;;
2.0519;;;;;
2.0520;Public Relations Specialist;Location;google;Nation, Region, State, County, Zip, City;
2.0521;Public Relations Specialist;Role;dropdown;Table W3;
2.0522;Public Relations Specialist;Asset Experience;dropdown;Table A;
2.0524;Public Relations Specialist;Qualifications;text;;
2.0525;Public Relations Specialist;Service Focus;dropdown;Table B;
2.0526;Public Relations Specialist;Preferred Engagement Stage;dropdown;Table JJF;
2.0527;Public Relations Specialist;Ideal Transaction Size;range;;
2.0528;Public Relations Specialist;Transactions Completed Last Year;range;;
2.0529;Public Relations Specialist;Open to Partnerships (JV);checkbox;;
2.0530;;;;;
2.0531;;;;;
;;;;;
2.0533;;;;;
2.0534;;;;;
2.0535;;;;;
2.0536;;;;;
2.0537;;;;;
2.0538;Insurance Provider/Product;Location;google;Nation, Region, State, County, Zip, City;
2.0539;Insurance Provider/Product;Insurance provided;dropdown;Table X;
2.0540;Insurance Provider/Product;Building Use Considered;dropdown;Table A;
2.0541;Insurance Provider/Product;Latest Renovation Year Accepted ;year;;
2.0542;Insurance Provider/Product;Latest Built Year Accepted ;year;;
2.0543;Insurance Provider/Product;HVAC Required;checkbox;;
2.0544;Insurance Provider/Product;Sprinklers Required;checkbox;;
2.0545;Insurance Provider/Product;Stage of Building;dropdown;Table JJF;
2.0546;Insurance Provider/Product;Occupancy Rate;text;;
2.0552;Insurance Provider/Product;Asset Status Considered;;Table JJF;
2.0547;Insurance Provider/Product;;;;
2.0548;Insurance Provider/Product;;;;
2.0549;Insurance Provider/Product;;;;
2.0550;Insurance Provider/Product;;;;
2.0551;Insurance Provider/Product;Open to Partnerships (JV);checkbox;;
