Table;Value
Table I;"24-Hour Access
24-Hour Security
Administrative Support
Air Conditioning
AV Equipment Conference Facilities
Custom Fit-Out
Bike Racks
Bikes Allowed
Boardroom
Break Areas
Broadband Internet
Business Lounge
Business Park Location
Café /Restaurant On-Site
Car Parking
CAT 5/5e/6 Cabling
Catering
City/Town Center
Close To other public transportation
Common Bathrooms
Common Kitchen
Conference Space
Day Care
Dedicated Fax Number
Dedicated Phone Number
Disabled Facilities (DDA/ASA Compliant)
Free Parking
Furnished Offices
High Ceilings
IT Support
Kitchen Facility
Lift/Elevator
Loading Docks
Lobby Attendant
Lounge Area
Luxury Offices
Open-Plan Offices
Pet Friendly
Postal Facilities/Mail Handling
Power Backup Support
Raised Floors
Ready to Move In
Reception Area
Reception Services
Recycling Facilities
Secretarial Services
Server Room
Shared Conference Room(s)
Shared Reception
Shared Space
Showers
Storage Area
Suspended Ceilings
Unfurnished
Vending Machines
Video Conferencing
Virtual Office Services
VOIP Phone System
VPN
WC (Separate Male/Female bathroom)
Workshop Space"
Table FB;"Irrigation
City Water
Well
Sewer
Septic
Telephone
Cable
Gas
Oil
Geo Thermal
Well Needed
Septic Needed"
Table JJF;"Distressed
Fully Leased
Fully Marketed
Off Market
Partially Leased
Permitted
Plans Approved / Entitled
Ready for Purchase
REO
Under Construction
Vacant
Stabilized "
Table H;"Gross
Full Service Gross
Modified Gross
Triple Net
Double Net
Single Net
Modified Net"
TABLE HA;"Pre Leased
Leased"
Table HB;"Single
Multiple"
Table QS;"Owner User
Investor (Non-Owner User)"
Table FC;"Paved
Dirt/Gravel
City
County
Easement
Interstate
US Hwy
Private Road
State"
Table FD;"Rolling
Level
Sloped
Steep
Bottomland
Flood Plain"
Table FA;"In Due Diligence
Letter Of Intent Submitted
Owned by Us
We are In Pursuit
Under Contract / Locked Up
Under Consideration / Underwriting"
Table FE;"dollars per sf per year
dollars per sm per year
dollars per acre per year
dollars per hectare per year
dollars per year
dollars pe sf per month
dollars per sm per month
dollars per acre per month
dollars per hectare per month
dollars per month"
Table FM;"0 - 100,000
100,000 - 500,000
500,000 - 1,000,000
1,000,000 - 2,000,000
2,000,000 - 5,000,000
5,000,000 - 10,000,000
10,000,000 - 25,000,000
25,000,000 - 50,000,000
50,000,000+ "
Table FN;"0 - 500,000
500,000 - 1,000,000
1,000,000 - 2,000,000
2,000,000 - 5,000,000
5,000,000 - 10,000,000
10,000,000 - 25,000,000
25,000,000+ "
Table FO;"0 - 100,000
100,000 - 500,000
500,000 - 1,000,000
1,000,000 - 2,000,000
2,000,000 - 5,000,000
5,000,000 - 10,000,000
10,000,000 - 25,000,000
25,000,000 - 50,000,000
50,000,000+ "
Table FP;"0 - 10
10 - 20
20 - 30
30+ "
Table QT;"Private Equity: Equity Fund
Private Equity: Debt Fund
Hedge Fund
Fund of Funds"
Table FQ;"0 - 3
4 - 5
5 - 6
6 - 7
7 - 8
8 - 9
9 - 10
10 - 11
11 - 12
12 - 13
13 - 14
14 - 15
15+"
Table FAA;"Under 1 acre
1 - 2 acres
2 - 5 acres
5 - 10 acres
10 - 20 acres
20 - 50 acres
50 - 100 acres
100+ acres"
Table FAB;"0 - 1,000 SF
1,000 SF - 2,000 SF
2,000 SF - 5,000 SF
5,000 SF - 10,000 SF
10,000 SF - 20,000 SF
20,000 SF - 50,000 SF
50,000 SF - 100,000 SF
100,000+ SF"
Table FR;"0 - 500,000
500,000 - 1,000,000
1,000,000 - 5,000,000
5,000,000 - 10,000,000
10,000,000 - 25,000,000
25,000,000 - 50,000,000
50,000,000 - 100,000,000
100,000,000 - 200,000,000
200,000,000+"
Table FS;"0 - 500,000
500,000 - 1,000,000
1,000,000 - 5,000,000
5,000,000 - 10,000,000
10,000,000 - 25,000,000
25,000,000 - 50,000,000
50,000,000 - 100,000,000
100,000,000 - 200,000,000
200,000,000+"
Table FT;"0 - 3
4 - 5
5 - 6
6 - 7
7 - 8
8+"
Table FU;"0 - 3
4 - 5
5 - 6
6 - 7
7 - 8
8+"
Table FV;"Retail
Office
Industrial 
Medical
Flex"
Table FW;"Sublet
Direct"
Table FX;"Sales
Leases"
Table FY;"ALC
CCIM
SIOR
CPM
TRC
CIPS
CFP
MBA"
Table V1;"Architect
Urban Design + Planning
Structural + Civil Engineering
Renovation + Restoration
Sustainable Design
Program Management
Project Management
Planning + Urban Design
Product Design
On-Site Services
Lighting Design
Landscape Architecture
Interior Design
Design-Build
Consulting
Construction Management
MEP
Workplace Consultancy
Sustainability
Design Support
Acoustic
Environmental Engineering
Civil Engineering
Structural Engineering
Transition Services"
Table V2;"Building Information Modeling
Canal design & Permitting
Construction Management
Commissioning
GIS Services
Expert Witness
Construction, Site and BMP Inspections
Hydrology & Hydraulics
Green Building & LEED Consulting
Land Surveying
Inspections
Land Development
Laser Scanning
Roof Inspection
Retrofits to Existing Properties
Site Design and Planning
Transportation & Traffic Engineering
Solid Waste Facilities
Utility Design and Permitting
Utility Engineering
Water & Drainage
Emergency Power Systems
Lighting
Cogeneration
Arc Flash Hazard Analysis
Load Analysis and Short Circuit Analysis
Fire Alarm And Evacuation Systems
PA and Sound Systems
Power Factor Correction
Systems Commissioning
On-Site Generation
Network And Data Systems
Telephone And Intercommunication Systems
Uninterruptible Power Supply (Ups)
Security/CCTV/Access Control
Protective Relaying and Coordination"
Table V3;"Commercial Construction
Residential Construction
Commissioning and Start-up Services
Construction Management
Module and Pipe Fabrication
Segmented Construction (Mechanical, E/I)
Design-Build
Design-Build-Operate-Maintain
Modular Construction
Demolition
Decomissioning & Closure
Safety
Sustainability & Environment
MEP Co-Ordination
Facilities management"
Table Y & EE;"Bidding
Construction
Design
Planning
Post Construction
Pre-Construction"
Table Y;"Bidding
Construction
Design
Planning
Post Construction
Pre-Construction"
Table Po;"Property For lease
Property For Sale
Development Property
Design Build Engineering
Professional Services
Brokers / Advisors
Insurance
Loan Post
Fund Post
Equity Post
CrowdFunding"
Table P;"Sponsor Developer
Insurance
Crowdfunders
Professional Service Providers
Brokers & Advisors
Fund
Design Build Engineering
Investor / Lenders
Owners Operators
Residential Broker"
Table PD;"Sponsor Developer
Insurance
Crowdfunders
Professional Service Providers
Brokerage
Advisors
Fund
Design & Architecture 
Build
Engineering
Investor
Lenders
Owners Operators
Other"
Table R ;"Professional Service
Broker / Advisor
D,B & E
Loan Requirement
Need Space 
Space for Lease
Insurance
Operating partner
CrowdFunder
Sell A property
Buy A property
Owner Operator
Equity Requirement
Developer / Sponsor
JV partner
Networking"
Table Rcs;"Club Prive
Concierge 
Service Call Please
Self Syndication"
Table PV;"Profile complete indicator
Profile / Posting Lighthouse Status
Syndication
Lighthosue Status
Ratings
Requirement Lightouse
Verification
Privacy
Logo 
Name / title"
Table AT;"Activity Tracer
Followers
Views
Discussion Comments
NewRatings
Connections
Data Room Actiity
Profile Matches
Requirement matches
Syndication participants
Rating Changes"
Table QK;"0.01x - 0.50x
0.51x - 0.75x
0.76x - 1.00x
1.01x - 1.25x
1.26x - 1.50x
1.51x - 1.75x
1.76x - 2.00x
2.01x - 2.25x
2.26x - 2.50x
2.51x - 2.75x
2.76x - 3.00x
3.01x+"
Table P1A;"Investor
Lender
Developer/Sponsor
Fund General Partner
Owner/Operator
Crowdfunders
Real Estate Services (take out Property/Facilites)
Capital Markets Broker / Placement Agents
Commercial Broker/Agent
Residential Broker/Agent
Mortgage Broker
Facilities & Property Management 
Architect or Designer
Engineer
Builder or Contractor
Professional Services
Legal
Accountant
Registered Investment Advisor (RIA)
Public Relations Specialist
Insurance Provider/Product
Other"
Table P1B;"Owner
Admin
Editor
Member"
Table P1C;"Fund Post
Project Post
Property Post"
Table P1D;"Ghost
Non-Member
Member
Deactivated"
Table P1G;"Unclaimed
Claimed
Deactivated"
Table P1E;"Public
Verified < Role Name> ( Roles within P1A)
Connections"
Table E1A;"Company 
Government Agency
Association"
Table E1F;"Self-employed
1-10 employees
11-50 employees
51-200 employees
201-500 employees
501-1,000 employees 
1,001-5,000 employees
5,001-10,000 employees
10,001+ employees"
Table P1F;"Raising Equity for a Project (Search for Project)
Raising Debt for a Project or Looking for Loan (Search for Project
Raising Equity for a Fund Post (Search for Fund)
Looking for Developer/Sponsor
Looking for Fund General Partner
Looking for Owner/Operator
Looking for Crowdfunders
Looking for Real Estate Services
Looking for Capital Markets Broker / Placement Agents
Looking for Commercial Broker/Agent
Looking for Residential Broker/Agent
Looking for Facilities & Property Management 
Looking for Mortgage Broker
Looking for Architect or Designer
Looking for Engineer
Looking for Builder or Contractor
Looking Professional Services 
Looking for Legal Services
Looking for Accountant
Looking for RIA
Looking for Public Relations Specialist
Looking for Insurance
Looking to Buy Property
Looking to Lease Space
Looking for Residential Property 
Lender: Loan Product"
